,Year,Date,Municipality,Municipality_name,TotArea,Hectares,Month,Day,FWI,FWI_index
183,2000,2000-09-13,2039,Älvdalen,5000,0.5,9,13,2.9333333333333336,2.0
184,2000,2000-09-14,139,Upplands-Bro,10,0.001,9,14,12.266666666666666,3.0
185,2000,2000-09-14,665,Vaggeryd,15,0.0015,9,14,0.55,1.0
186,2000,2000-09-15,1737,Torsby,1200,0.12,9,15,7.947619047619048,2.8333333333333335
187,2000,2000-09-15,2326,Berg,3750,0.375,9,15,5.8307692307692305,2.2884615384615383
188,2000,2000-09-15,1980,Västerås,1,0.0001,9,15,8.177777777777777,2.888888888888889
189,2000,2000-09-16,2281,Sundsvall,100,0.01,9,16,10.742424242424242,2.727272727272727
190,2000,2000-09-16,117,Österåker,150,0.015,9,16,14.0,3.0
191,2000,2000-09-16,1485,Uddevalla,14,0.0014,9,16,8.3,3.0
192,2000,2000-09-17,580,Linköping,3,0.0003,9,17,12.15,3.0
193,2000,2000-09-17,2361,Härjedalen,90000,9.0,9,17,7.378125,2.4895833333333335
194,2000,2000-09-17,2361,Härjedalen,90000,9.0,9,17,7.378125,2.4895833333333335
195,2000,2000-09-18,486,Strängnäs,7000,0.7,9,18,19.942857142857143,4.142857142857143
196,2000,2000-09-18,2380,Östersund,25,0.0025,9,18,9.289473684210526,3.0
197,2000,2000-09-18,2361,Härjedalen,15000,1.5,9,18,6.914583333333333,2.3333333333333335
198,2000,2000-09-18,2080,Falun,1000,0.1,9,18,12.494736842105263,3.0
199,2000,2000-09-19,120,Värmdö,10,0.001,9,19,7.4625,1.875
200,2000,2000-09-19,2080,Falun,5,0.0005,9,19,9.721052631578948,3.0
201,2000,2000-09-20,683,Värnamo,20,0.002,9,20,9.818181818181818,3.0
202,2000,2000-09-21,881,Nybro,2,0.0002,9,21,12.6,3.0
203,2000,2000-09-21,117,Österåker,60,0.006,9,21,12.919999999999998,3.0
204,2000,2000-09-22,2184,Hudiksvall,300,0.03,9,22,7.5,2.68
205,2000,2000-09-22,580,Linköping,500,0.05,9,22,9.1,3.0
206,2000,2000-09-22,2281,Sundsvall,30,0.003,9,22,8.675757575757576,2.696969696969697
207,2000,2000-09-22,560,Boxholm,90,0.009,9,22,9.516666666666667,3.0
208,2000,2000-09-23,1784,Arvika,10000,1.0,9,23,9.85625,3.0
209,2000,2000-09-23,1981,Sala,4,0.0004,9,23,8.84,3.0
210,2000,2000-09-24,180,Stockholm,5,0.0005,9,24,13.45,3.0
211,2000,2000-09-24,380,Uppsala,1,0.0001,9,24,13.81578947368421,3.0
212,2000,2000-09-24,182,Nacka,2,0.0002,9,24,12.2,3.0
213,2000,2000-09-24,483,Katrineholm,1500,0.15,9,24,8.93,3.0
214,2000,2000-09-24,2080,Falun,1000,0.1,9,24,9.973684210526315,3.0
215,2000,2000-09-24,1490,Borås,100,0.01,9,24,8.244444444444445,3.0
216,2000,2000-09-24,2083,Hedemora,5,0.0005,9,24,9.825,3.0
217,2000,2000-09-25,880,Kalmar,10,0.001,9,25,14.254545454545456,3.0
218,2000,2000-09-25,182,Nacka,3,0.0003,9,25,11.4,3.0
219,2000,2000-09-25,1765,Årjäng,400,0.04,9,25,7.205882352941177,2.6470588235294117
220,2000,2000-09-26,1490,Borås,2000,0.2,9,26,7.344444444444444,2.6666666666666665
221,2000,2000-09-26,382,Östhammar,3,0.0003,9,26,4.733333333333333,1.7777777777777777
222,2000,2000-09-26,1882,Askersund,200,0.02,9,26,8.322222222222223,3.0
223,2000,2000-09-26,182,Nacka,4,0.0004,9,26,8.5,3.0
224,2000,2000-09-27,192,Nynäshamn,5,0.0005,9,27,11.18,3.0
225,2000,2000-09-27,763,Tingsryd,220,0.022,9,27,6.56,2.5
226,2001,2001-04-04,1480,Göteborg,2,0.0002,4,4,0.36,1.0
227,2001,2001-04-06,680,Jönköping,1,0.0001,4,6,0.5071428571428571,1.0
228,2001,2001-04-09,1285,Eslöv,2,0.0002,4,9,0.55,1.0
229,2001,2001-04-11,1280,Malmö,1,0.0001,4,11,2.8000000000000003,2.0
230,2001,2001-04-14,1384,Kungsbacka,1,0.0001,4,14,3.1666666666666665,2.0
231,2001,2001-04-14,319,Älvkarleby,300,0.03,4,14,2.3,2.0
232,2001,2001-04-14,1383,Varberg,1,0.0001,4,14,4.141666666666667,2.0
233,2001,2001-04-15,1480,Göteborg,5,0.0005,4,15,2.88,2.0
234,2001,2001-04-16,1283,Helsingborg,1,0.0001,4,16,3.8,2.0
235,2001,2001-04-17,125,Ekerö,1,0.0001,4,17,6.625,2.0
236,2001,2001-04-18,484,Eskilstuna,2,0.0002,4,18,0.2833333333333333,1.0
237,2001,2001-04-28,120,Värmdö,500,0.05,4,28,0.9624999999999999,0.875
238,2001,2001-04-28,1480,Göteborg,2,0.0002,4,28,0.24000000000000005,1.0
239,2001,2001-04-30,2281,Sundsvall,10,0.001,4,30,2.909090909090909,1.5757575757575757
240,2001,2001-04-30,2182,Söderhamn,1,0.0001,4,30,0.7333333333333333,1.0833333333333333
241,2001,2001-04-30,862,Emmaboda,2,0.0002,4,30,2.9,2.0
242,2001,2001-05-01,1278,Båstad,15,0.0015,5,1,0.775,1.0
243,2001,2001-05-01,880,Kalmar,3500,0.35,5,1,7.909090909090909,2.6363636363636362
244,2001,2001-05-01,181,Södertälje,100,0.01,5,1,1.8800000000000001,1.8
245,2001,2001-05-04,882,Oskarshamn,1,0.0001,5,4,5.927272727272728,2.272727272727273
246,2001,2001-05-07,180,Stockholm,1,0.0001,5,7,14.850000000000001,3.0
247,2001,2001-05-07,126,Huddinge,1,0.0001,5,7,16.0,3.0
248,2001,2001-05-07,2262,Timrå,200,0.02,5,7,7.685714285714285,2.857142857142857
249,2001,2001-05-09,761,Lessebo,2500,0.25,5,9,11.85,3.0
250,2001,2001-05-09,180,Stockholm,1,0.0001,5,9,20.3,4.0
251,2001,2001-05-10,182,Nacka,4,0.0004,5,10,21.7,4.0
252,2001,2001-05-10,484,Eskilstuna,1,0.0001,5,10,16.016666666666666,3.0833333333333335
253,2001,2001-05-11,1781,Kristinehamn,5000,0.5,5,11,3.227272727272727,2.0
254,2001,2001-05-11,2480,Umeå,1,0.0001,5,11,4.835714285714286,1.8571428571428572
255,2001,2001-05-11,1883,Karlskoga,1,0.0001,5,11,9.375,3.0
256,2001,2001-05-12,182,Nacka,1,0.0001,5,12,12.3,3.0
